trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
94,0,94,0,176.4637619999703,177.46398979995865,177.46398979995865,-3,up,0,0.18479850003495812,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
95,0,95,0,177.68026769999415,178.68047719995957,178.68047719995957,-5,up,0,0.43309169996064156,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
96,0,96,0,179.1299941999605,180.1303783999756,180.1303783999756,0,up,1,1.4578237000387162,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
97,0,97,0,181.6132919000229,182.6140030999668,182.6140030999668,3,down,1,0.026048299972899258,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
98,0,98,0,182.66316499991808,183.6634285999462,183.6634285999462,0,up,1,0.08752329996787012,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
99,0,99,0,183.77996860002168,184.7802396999905,184.7802396999905,-5,up,0,0.03570789995137602,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
100,0,100,0,184.8467260999605,185.84697690000758,185.84697690000758,-5,up,0,0.33286550000775605,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
101,0,101,0,186.19670430000406,187.1969558999408,187.1969558999408,0,down,0,0.2672048000385985,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
102,0,102,0,187.49684309994336,188.49704759998713,188.49704759998713,-4,up,0,0.45675520005170256,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
103,0,103,0,188.97970999998506,189.9801346999593,189.9801346999593,-4,up,0,0.14418569998815656,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
104,0,104,0,190.1466400999343,191.14694280002732,191.14694280002732,1,up,0,0.7499356999760494,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
